def,county,geotypv,geotype,COUNTYFI_1,strata,ind,ind_strt,metric,value,climReg
Percent of population age less than 5 years,El Dorado,6017,CO,6017,none,children,children_none,est,5.3,North Sierra
Percent of population age less than 5 years,Fresno,6019,CO,6019,none,children,children_none,est,8.5,Southern Central Valley
Percent of population age less than 5 years,Glenn,6021,CO,6021,none,children,children_none,est,7.7,Northern Central Valley
Percent of population age less than 5 years,Humboldt,6023,CO,6023,none,children,children_none,est,5.7,North Coast
Percent of population age less than 5 years,Imperial,6025,CO,6025,none,children,children_none,est,7.8,Desert
Percent of population age less than 5 years,Inyo,6027,CO,6027,none,children,children_none,est,5.8,Southeast Sierra
Percent of population age less than 5 years,Kern,6029,CO,6029,none,children,children_none,est,8.7,Southern Central Valley
Percent of population age less than 5 years,Kings,6031,CO,6031,none,children,children_none,est,8.4,Southern Central Valley
Percent of population age less than 5 years,Lake,6033,CO,6033,none,children,children_none,est,5.6,North Coast
Percent of population age less than 5 years,Lassen,6035,CO,6035,none,children,children_none,est,4.7,North
Percent of population age less than 5 years,Los Angeles,6037,CO,6037,none,children,children_none,est,6.6,South Coast
Percent of population age less than 5 years,Madera,6039,CO,6039,none,children,children_none,est,7.9,Northern Central Valley
Percent of population age less than 5 years,Marin,6041,CO,6041,none,children,children_none,est,5.5,Bay Area
Percent of population age less than 5 years,Mariposa,6043,CO,6043,none,children,children_none,est,4.2,North Sierra
Percent of population age less than 5 years,Mendocino,6045,CO,6045,none,children,children_none,est,6.1,North Coast
Percent of population age less than 5 years,Merced,6047,CO,6047,none,children,children_none,est,8.7,Northern Central Valley
Percent of population age less than 5 years,Modoc,6049,CO,6049,none,children,children_none,est,5.6,North
Percent of population age less than 5 years,Mono,6051,CO,6051,none,children,children_none,est,6.3,Southeast Sierra
Percent of population age less than 5 years,Monterey,6053,CO,6053,none,children,children_none,est,7.8,Central Coast
Percent of population age less than 5 years,Napa,6055,CO,6055,none,children,children_none,est,6,Bay Area
Percent of population age less than 5 years,Nevada,6057,CO,6057,none,children,children_none,est,4.4,North Sierra
Percent of population age less than 5 years,Orange,6059,CO,6059,none,children,children_none,est,6.4,South Coast
Percent of population age less than 5 years,Placer,6061,CO,6061,none,children,children_none,est,6,North Sierra
Percent of population age less than 5 years,Plumas,6063,CO,6063,none,children,children_none,est,4.4,North Sierra
Percent of population age less than 5 years,Riverside,6065,CO,6065,none,children,children_none,est,7.4,Desert
Percent of population age less than 5 years,Sacramento,6067,CO,6067,none,children,children_none,est,7.1,Northern Central Valley
Percent of population age less than 5 years,San Benito,6069,CO,6069,none,children,children_none,est,7.4,Central Coast
Percent of population age less than 5 years,San Bernardino,6071,CO,6071,none,children,children_none,est,7.8,Desert
Percent of population age less than 5 years,San Diego,6073,CO,6073,none,children,children_none,est,6.6,South Coast
Percent of population age less than 5 years,San Francisco,6075,CO,6075,none,children,children_none,est,4.4,Bay Area
Percent of population age less than 5 years,San Joaquin,6077,CO,6077,none,children,children_none,est,7.9,Northern Central Valley
Percent of population age less than 5 years,San Luis Obispo,6079,CO,6079,none,children,children_none,est,4.9,Central Coast
Percent of population age less than 5 years,San Mateo,6081,CO,6081,none,children,children_none,est,6.5,Bay Area
Percent of population age less than 5 years,Santa Barbara,6083,CO,6083,none,children,children_none,est,6.5,Central Coast
Percent of population age less than 5 years,Santa Clara,6085,CO,6085,none,children,children_none,est,7,Bay Area
Percent of population age less than 5 years,Santa Cruz,6087,CO,6087,none,children,children_none,est,5.7,Central Coast
Percent of population age less than 5 years,Shasta,6089,CO,6089,none,children,children_none,est,5.8,North
Percent of population age less than 5 years,Sierra,6091,CO,6091,none,children,children_none,est,4.5,North Sierra
Percent of population age less than 5 years,Siskiyou,6093,CO,6093,none,children,children_none,est,5.5,North
Percent of population age less than 5 years,Solano,6095,CO,6095,none,children,children_none,est,6.5,Bay Area
Percent of population age less than 5 years,Sonoma,6097,CO,6097,none,children,children_none,est,5.8,Bay Area
Percent of population age less than 5 years,Stanislaus,6099,CO,6099,none,children,children_none,est,7.7,Northern Central Valley
Percent of population age less than 5 years,Sutter,6101,CO,6101,none,children,children_none,est,7.6,Northern Central Valley
Percent of population age less than 5 years,Tehama,6103,CO,6103,none,children,children_none,est,6.9,Northern Central Valley
Percent of population age less than 5 years,Trinity,6105,CO,6105,none,children,children_none,est,4.5,North
Percent of population age less than 5 years,Tulare,6107,CO,6107,none,children,children_none,est,9.3,Southern Central Valley
Percent of population age less than 5 years,Tuolumne,6109,CO,6109,none,children,children_none,est,4.2,North Sierra
Percent of population age less than 5 years,Ventura,6111,CO,6111,none,children,children_none,est,6.7,South Coast
Percent of population age less than 5 years,Yolo,6113,CO,6113,none,children,children_none,est,6.3,Northern Central Valley
Percent of population age less than 5 years,Yuba,6115,CO,6115,none,children,children_none,est,8.6,Northern Central Valley
"Number of Violent Crimes per 1,000 Population",Alameda,6001,CO,6001,ViolentCrime,crime,crime_ViolentCrime,est,7.473162124,Bay Area
"Number of Violent Crimes per 1,000 Population",Alpine,6003,CO,6003,ViolentCrime,crime,crime_ViolentCrime,est,5.352363961,Southeast Sierra
"Number of Violent Crimes per 1,000 Population",Amador,6005,CO,6005,ViolentCrime,crime,crime_ViolentCrime,est,2.715620248,North Sierra
"Number of Violent Crimes per 1,000 Population",Butte,6007,CO,6007,ViolentCrime,crime,crime_ViolentCrime,est,2.851168124,Northern Central Valley
"Number of Violent Crimes per 1,000 Population",Calaveras,6009,CO,6009,ViolentCrime,crime,crime_ViolentCrime,est,2.917676632,North Sierra
"Number of Violent Crimes per 1,000 Population",Colusa,6011,CO,6011,ViolentCrime,crime,crime_ViolentCrime,est,2.006626534,Northern Central Valley
"Number of Violent Crimes per 1,000 Population",Contra Costa,6013,CO,6013,ViolentCrime,crime,crime_ViolentCrime,est,3.6335016,Bay Area
"Number of Violent Crimes per 1,000 Population",Del Norte,6015,CO,6015,ViolentCrime,crime,crime_ViolentCrime,est,6.19885941,North Coast
"Number of Violent Crimes per 1,000 Population",El Dorado,6017,CO,6017,ViolentCrime,crime,crime_ViolentCrime,est,2.159348873,North Sierra
"Number of Violent Crimes per 1,000 Population",Fresno,6019,CO,6019,ViolentCrime,crime,crime_ViolentCrime,est,5.101094514,Southern Central Valley
"Number of Violent Crimes per 1,000 Population",Glenn,6021,CO,6021,ViolentCrime,crime,crime_ViolentCrime,est,5.393820325,Northern Central Valley
"Number of Violent Crimes per 1,000 Population",Humboldt,6023,CO,6023,ViolentCrime,crime,crime_ViolentCrime,est,3.512724362,North Coast
"Number of Violent Crimes per 1,000 Population",Imperial,6025,CO,6025,ViolentCrime,crime,crime_ViolentCrime,est,3.043073917,Desert
"Number of Violent Crimes per 1,000 Population",Inyo,6027,CO,6027,ViolentCrime,crime,crime_ViolentCrime,est,4.052301707,Southeast Sierra
"Number of Violent Crimes per 1,000 Population",Kern,6029,CO,6029,ViolentCrime,crime,crime_ViolentCrime,est,5.763150631,Southern Central Valley
"Number of Violent Crimes per 1,000 Population",Kings,6031,CO,6031,ViolentCrime,crime,crime_ViolentCrime,est,4.793198286,Southern Central Valley
